# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.452706382949e-10       5.590971712940e-15       4.078565139066e-13       0.000000000000e+00       8.453647354559e-09       4.824830820300e-10      -2.165512338277e-12 
    3       1.367139895446e-10       8.222610255950e-15       4.855673596724e-13       0.000000000000e+00       5.191564180263e-09       3.414006130608e-10      -1.773628165719e-12 
    4       1.286176943377e-10       8.243166076980e-15       4.771799586607e-13       0.000000000000e+00       3.594564417671e-09       2.582937601823e-10      -1.290890108451e-12 
    5       1.224308702032e-10       6.435446027321e-15       4.252813329607e-13       0.000000000000e+00       2.674074136988e-09       2.039455084214e-10      -8.439463184815e-13 
    6       1.180442226934e-10       4.142601674162e-15       3.566255011527e-13       0.000000000000e+00       2.083022050702e-09       1.659068885357e-10      -4.746342779657e-13 
    7       1.151190851510e-10       2.339548343589e-15       2.880971639307e-13       0.000000000000e+00       1.676473204437e-09       1.379821189251e-10      -1.982829209832e-13 
    8       1.132371463267e-10       1.324709790193e-15       2.288578406948e-13       0.000000000000e+00       1.382759197286e-09       1.167363312683e-10      -1.441846516398e-14 
    9       1.121988510296e-10       9.141239381546e-16       1.831183530439e-13       0.000000000000e+00       1.162413663495e-09       1.001581583320e-10       8.757881872396e-14 
   10       1.118034461285e-10       7.829673886991e-16       1.518338684128e-13       0.000000000000e+00       9.921291478757e-10       8.698600526707e-11       1.246334267383e-13 
   11       1.118557742276e-10       7.042938391056e-16       1.338890072172e-13       0.000000000000e+00       8.495289235720e-10       7.706843366313e-11       1.163194552094e-13 
   12       1.123161392114e-10       6.080955560512e-16       1.267919725920e-13       0.000000000000e+00       7.423435619278e-10       6.824533532387e-11       8.252957604086e-14 
   13       1.130430221475e-10       5.191518870011e-16       1.274398465210e-13       0.000000000000e+00       6.543490783931e-10       6.086795516290e-11       3.930629173894e-14 
   14       1.139718230180e-10       4.731843893140e-16       1.329496948084e-13       0.000000000000e+00       5.811234765375e-10       5.460068145584e-11      -1.082059165080e-15 
