# Matter power spectrum P(k) at redshift z=0
# for k=1.03125e-05 to 1.72133 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.031245165116e-05       5.190067802789e+01 
       2.302613761040e-05       1.125819758320e+02 
       3.578337781896e-05       1.721981278814e+02 
       4.861760904759e-05       2.313856266504e+02 
       6.156280692401e-05       2.905054051509e+02 
       7.465378109640e-05       3.498268559597e+02 
       8.792647960137e-05       4.095795682405e+02 
       1.014183063883e-04       4.699745643405e+02 
       1.151684559823e-04       5.312149616078e+02 
       1.292182693014e-04       5.935025037487e+02 
       1.436116146530e-04       6.570420169028e+02 
       1.583952978897e-04       7.220448607710e+02 
       1.736195055603e-04       7.887318606442e+02 
       1.893382845841e-04       8.573359483381e+02 
       2.056100614225e-04       9.281046897541e+02 
       2.224982028164e-04       1.001302773800e+03 
       2.400716187487e-04       1.077214493290e+03 
       2.584054061987e-04       1.156146255771e+03 
       2.775815292455e-04       1.238429094590e+03 
       2.976895268676e-04       1.324421148447e+03 
       3.188272340505e-04       1.414510054289e+03 
       3.411014941958e-04       1.509115116204e+03 
       3.646288309855e-04       1.608689151529e+03 
       3.895360355190e-04       1.713719758684e+03 
       4.159606096686e-04       1.824729793992e+03 
       4.440509895007e-04       1.942276717932e+03 
       4.739664542593e-04       2.066950361599e+03 
       5.058766087226e-04       2.199368823125e+03 
       5.399603129033e-04       2.340171777236e+03 
       5.764039277862e-04       2.490010947374e+03 
       6.153987552145e-04       2.649537221764e+03 
       6.571375811820e-04       2.819384236706e+03 
       7.018102910733e-04       3.000148427738e+03 
       7.495986162551e-04       3.192366176333e+03 
       8.006701911248e-04       3.396488776575e+03 
       8.551722362965e-04       3.612857020773e+03 
       9.132253145186e-04       3.841677181614e+03 
       9.749177002786e-04       4.083000839591e+03 
       1.040300929583e-03       4.336710879939e+03 
       1.109387030186e-03       4.602515479207e+03 
       1.182147771976e-03       4.879951386673e+03 
       1.258516045590e-03       5.168396427250e+03 
       1.338389220166e-03       5.467090301443e+03 
       1.421634102732e-03       5.775161529700e+03 
       1.508092967965e-03       6.091657649620e+03 
       1.597590071269e-03       6.415576453017e+03 
       1.689938096724e-03       6.745894627059e+03 
       1.784944099508e-03       7.081594206016e+03 
       1.882414645238e-03       7.421683609089e+03 
       1.982159993306e-03       7.765214481552e+03 
       2.083997294436e-03       8.111293577948e+03 
       2.187752862691e-03       8.459091185465e+03 
       2.293263637374e-03       8.807844579617e+03 
       2.400377975704e-03       9.156859763915e+03 
       2.508955920434e-03       9.505510269225e+03 
       2.618869075783e-03       9.853233556428e+03 
       2.730000206697e-03       1.019952958751e+04 
       2.842242655540e-03       1.054395388782e+04 
       2.955499649845e-03       1.088611555325e+04 
       3.069683556493e-03       1.122567000719e+04 
       3.184715122364e-03       1.156231692820e+04 
       3.300522729174e-03       1.189579376097e+04 
       3.417041680736e-03       1.222587298165e+04 
       3.534213533699e-03       1.255235726701e+04 
       3.651985477685e-03       1.287507677332e+04 
       3.770309767055e-03       1.319388834800e+04 
       3.889143204065e-03       1.350866823958e+04 
       4.008446671535e-03       1.381931064713e+04 
       4.128184712208e-03       1.412573316332e+04 
       4.248325151375e-03       1.442786001504e+04 
       4.368838759175e-03       1.472563446697e+04 
       4.489698948915e-03       1.501901919882e+04 
       4.610881507886e-03       1.530796912120e+04 
       4.732364357350e-03       1.559246216331e+04 
       4.854127338602e-03       1.587248569443e+04 
       4.976152022284e-03       1.614802632562e+04 
       5.098421538371e-03       1.641906823841e+04 
       5.220920424541e-03       1.668564655977e+04 
       5.343634490842e-03       1.694777677551e+04 
       5.466550698822e-03       1.720539293549e+04 
       5.589657053484e-03       1.745861984629e+04 
       5.712942506607e-03       1.770740574786e+04 
       5.836396870162e-03       1.795177059084e+04 
       5.960010738671e-03       1.819176422827e+04 
       6.083775419523e-03       1.842743061673e+04 
       6.207682870341e-03       1.865877533837e+04 
       6.331725642638e-03       1.888579971109e+04 
       6.455896831065e-03       1.910857933975e+04 
       6.580190027630e-03       1.932710327304e+04 
       6.704599280372e-03       1.954152714099e+04 
       6.829119055994e-03       1.975171790465e+04 
       6.953744206041e-03       1.995785163286e+04 
       7.078469936258e-03       2.015991881920e+04 
       7.203291778780e-03       2.035787097618e+04 
       7.328205566881e-03       2.055190391640e+04 
       7.453207412008e-03       2.074189787300e+04 
       7.578293682868e-03       2.092807836367e+04 
       7.703460986380e-03       2.111030062525e+04 
       7.828706150284e-03       2.128868749667e+04 
       7.954026207260e-03       2.146323917323e+04 
       8.079418380414e-03       2.163408441602e+04 
       8.204880069980e-03       2.180119166045e+04 
       8.330408841152e-03       2.196461492581e+04 
       8.456002412911e-03       2.212438956546e+04 
       8.581658647775e-03       2.228048172014e+04 
       8.707375542386e-03       2.243308096193e+04 
       8.833151218837e-03       2.258212068224e+04 
       8.958983916708e-03       2.272776482400e+04 
       9.084871985717e-03       2.286990767644e+04 
       9.210813878943e-03       2.300868766999e+04 
       9.336808146580e-03       2.314406117330e+04 
       9.462853430168e-03       2.327607150485e+04 
       9.588948457250e-03       2.340482129329e+04 
       9.715092036447e-03       2.353029287246e+04 
       9.841283052891e-03       2.365252524390e+04 
       9.967520463995e-03       2.377149734513e+04 
       1.009380329554e-02       2.388749157423e+04 
       1.022013063802e-02       2.400027878628e+04 
       1.034650164334e-02       2.411001122225e+04 
       1.047291552158e-02       2.421663561297e+04 
       1.059937153821e-02       2.432023460308e+04 
       1.072586901129e-02       2.442091483970e+04 
       1.085240730904e-02       2.451877160369e+04 
       1.097898584746e-02       2.461352358781e+04 
       1.110560408819e-02       2.470557374855e+04 
       1.123226153649e-02       2.479462423078e+04 
       1.135895773936e-02       2.488098471471e+04 
       1.148569228378e-02       2.496455707506e+04 
       1.161246479512e-02       2.504541612396e+04 
       1.173927493562e-02       2.512358452334e+04 
       1.186612240296e-02       2.519898618581e+04 
       1.199300692898e-02       2.527177988178e+04 
       1.211992827846e-02       2.534193367590e+04 
       1.224688624797e-02       2.540960493368e+04 
       1.237388066485e-02       2.547470394584e+04 
       1.250091138621e-02       2.553712877841e+04 
       1.262797829804e-02       2.559719383450e+04 
       1.275508131435e-02       2.565489582959e+04 
       1.288222037643e-02       2.571001321771e+04 
       1.300939545207e-02       2.576272224369e+04 
       1.313660653495e-02       2.581311750535e+04 
       1.326385364401e-02       2.586120987912e+04 
       1.339113682287e-02       2.590702499003e+04 
       1.351845613932e-02       2.595048453658e+04 
       1.364581168484e-02       2.599159464902e+04 
       1.377320357416e-02       2.603069873799e+04 
       1.390063194490e-02       2.606748728449e+04 
       1.402809695713e-02       2.610200070682e+04 
       1.415559879314e-02       2.613449539897e+04 
       1.428313765707e-02       2.616486133741e+04 
       1.441071377471e-02       2.619312192837e+04 
       1.453832739323e-02       2.621930036799e+04 
       1.466597878099e-02       2.624351751714e+04 
       1.479366822736e-02       2.626563993539e+04 
       1.492139604262e-02       2.628582454313e+04 
       1.504916255776e-02       2.630405457247e+04 
       1.517696812444e-02       2.632030517787e+04 
       1.530481311493e-02       2.633464750915e+04 
       1.543269792200e-02       2.634719115520e+04 
       1.556062295894e-02       2.635779895081e+04 
       1.568858865955e-02       2.636649903896e+04 
       1.581659547813e-02       2.637356984833e+04 
       1.594464388955e-02       2.637873067624e+04 
       1.607273438926e-02       2.638208521058e+04 
       1.620086749342e-02       2.638385196228e+04 
       1.632904373893e-02       2.638382064202e+04 
       1.645726368359e-02       2.638213421082e+04 
       1.658552790623e-02       2.637876861494e+04 
       1.671383700680e-02       2.637372419601e+04 
       1.684219160660e-02       2.636707669027e+04 
       1.697059234843e-02       2.635887824223e+04 
       1.709903989679e-02       2.634904054312e+04 
       1.722753493810e-02       2.633770637588e+04 
       1.735607818093e-02       2.632483817712e+04 
       1.748467035625e-02       2.631032940531e+04 
       1.761331221771e-02       2.629452774215e+04 
       1.774200454188e-02       2.627719652958e+04 
       1.787074812861e-02       2.625846535663e+04 
       1.799954380127e-02       2.623819294295e+04 
       1.812839240716e-02       2.621659568630e+04 
       1.825729481781e-02       2.619360647819e+04 
       1.838625192935e-02       2.616929462730e+04 
       1.851526466290e-02       2.614357631299e+04 
       1.864433396498e-02       2.611662168029e+04 
       1.877346080789e-02       2.608838991397e+04 
       1.890264619019e-02       2.605885826345e+04 
       1.903189113711e-02       2.602803871946e+04 
       1.916119670106e-02       2.599601608903e+04 
       1.929056396207e-02       2.596277615424e+04 
       1.941999402832e-02       2.592834783762e+04 
       1.954948803667e-02       2.589276599161e+04 
       1.967904715320e-02       2.585598739243e+04 
       1.980867257375e-02       2.581807936605e+04 
       1.993836552452e-02       2.577909611760e+04 
       2.006812726269e-02       2.573897057001e+04 
